"record_id","age","workclass","education","occupation","hours_per_week","income"
1,31,"Private","11th","Adm-clerical",19,"<=50K"
2,35,"Private","Some-college","Other-service",16,"<=50K"
3,60,"Private","11th","Handlers-cleaners",47,"<=50K"
4,39,"Self-emp-not-inc","Prof-school","Sales",40,"<=50K"
5,39,"Self-emp-not-inc","Masters","Craft-repair",63,"<=50K"
6,62,"Private","Bachelors","Craft-repair",47,"<=50K"
7,45,"Local-gov","Prof-school","Tech-support",51,">50K"
8,21,"Private","11th","Adm-clerical",57,"<=50K"
9,29,"Private","Assoc-acdm","Craft-repair",34,"<=50K"
10,32,"Unknown","Some-college","Handlers-cleaners",47,"<=50K"
11,55,"Private","Bachelors","Tech-support",51,"<=50K"
12,39,"Private","Assoc-voc","Other-service",57,"<=50K"
13,44,"Private","Bachelors","Craft-repair",50,"<=50K"
14,40,"Private","Masters","Other-service",46,"<=50K"
15,31,"Private","11th","Prof-specialty",30,"<=50K"
16,63,"Local-gov","Some-college","Tech-support",49,">50K"
17,45,"Private","11th","Tech-support",47,">50K"
18,17,"Private","Prof-school","Tech-support",48,">50K"
19,48,"Private","Masters","Prof-specialty",46,"<=50K"
20,32,"Private","Bachelors","Exec-managerial",41,"<=50K"
21,24,"Private","Some-college","Prof-specialty",39,"<=50K"
22,36,"Self-emp-not-inc","HS-grad","Unknown",49,"<=50K"
23,25,"Private","Assoc-voc","Handlers-cleaners",43,"<=50K"
24,29,"Private","Prof-school","Tech-support",30,"<=50K"
25,30,"Self-emp-not-inc","HS-grad","Handlers-cleaners",37,"<=50K"
26,17,"Private","Masters","Sales",24,"<=50K"
27,50,"Private","Bachelors","Other-service",29,">50K"
28,41,"Private","Prof-school","Adm-clerical",39,">50K"
29,23,"Private","Assoc-voc","Craft-repair",18,"<=50K"
30,55,"Private","Assoc-acdm","Prof-specialty",20,"<=50K"
31,44,"Private","Bachelors","Craft-repair",54,">50K"
32,35,"Private","Assoc-voc","Sales",33,"<=50K"
33,51,"Private","Some-college","Handlers-cleaners",18,"<=50K"
34,50,"Private","Prof-school","Tech-support",39,"<=50K"
35,50,"Private","11th","Tech-support",41,">50K"
36,48,"Private","Some-college","Handlers-cleaners",49,"<=50K"
37,46,"Private","Assoc-acdm","Sales",46,"<=50K"
38,38,"Private","Some-college","Tech-support",55,">50K"
39,34,"Private","11th","Tech-support",31,">50K"
40,33,"Private","11th","Exec-managerial",49,">50K"
41,29,"Self-emp-not-inc","HS-grad","Prof-specialty",33,">50K"
42,36,"Local-gov","Doctorate","Tech-support",40,"<=50K"
43,21,"Private","Prof-school","Craft-repair",68,"<=50K"
44,68,"Private","Some-college","Other-service",52,">50K"
45,39,"Private","Doctorate","Exec-managerial",50,"<=50K"
46,23,"Private","Bachelors","Adm-clerical",27,"<=50K"
47,33,"Private","Assoc-voc","Adm-clerical",31,"<=50K"
48,32,"Private","Bachelors","Other-service",68,"<=50K"
49,49,"State-gov","Assoc-acdm","Tech-support",27,">50K"
50,37,"Federal-gov","Bachelors","Handlers-cleaners",43,"<=50K"
51,42,"Local-gov","Assoc-acdm","Handlers-cleaners",51,"<=50K"
52,38,"Self-emp-not-inc","Masters","Craft-repair",53,"<=50K"
53,38,"State-gov","Some-college","Exec-managerial",54,"<=50K"
54,57,"Private","Prof-school","Handlers-cleaners",38,"<=50K"
55,35,"Unknown","Some-college","Other-service",30,">50K"
